device_name,min_consumption,max_consumption,device_age
bulb,100,120,3
LED TV 42 INCH,58,60,5
3''belt sander,1000,1000,4
Air cooler,65,80,4
Air purifier,25,30,3
Amazon echo dot,2,3,5
Amazon echo show,2,4,5
fridge,40,80,6
Aquarium,20,50,5
Apple Tv,3,6,4
Bathroom towel h,60,150,1
fan,60,70,1
Clock radio,1,2,6
Cloth dryer,1000,4000,4
coffee maker,800,1400,2
Computer monitor,25,30,2
Cooker Hood,20,30,2
Corded drill,600,850,5
Drill charger,70,150,4
Cpap machine,30,60,2
Curling iron,25,35,3
DAB mains radio,5,9,4
dekstop computer,100,450,1
Dishwasher,1200,1500,3
Domestic water pump,200,300,6
DVD player,26,60,4
Electric boiler,8000,14000,6
Electric heater fan,2000,3000,6
Electric kettle,1200,3000,3
Electric shaver,15,20,3
Electric water heater,6600,8800,2
ispresso coffee machine,1300,1500,6
EV car charger,2000,7000,3
EV home charger,1600,3400,1
External harddrive,1,3,5
Flouresent lamp,28,45,4
Food blender,300,400,4
freezer,30,50,1
fridge,100,220,2
game console,120,200,1
gaming pc,300,600,2
girrage door opener,300,400,5
Guitar amplifier,20,30,4
Hair blow dryer,1800,2500,3
heated bathroom mirror,50,100,2
home airconditioner,1000,4000,5
Internet router,5,15,4
Phone,3,5,2
hot water dispenser,1200,1300,6
humidifier,35,40,2
iMac,60,240,5
Induction Hop,1400,1800,1
inkject printer,20,30,2
Air conditioner,1300,1800,3
jacuzzi,3000,7500,2
laptop,50,100,4
lazer printer,600,800,6
lawn mower,1000,1400,5
led bulb,7,10,2
LG sound bar,23,30,4
Mi box,5,7,5
Microwave,600,1700,1
Outdoor hot tub,60,500,5
paper shredder,200,220,3
pedestel fan,50,60,3
percolator,800,1100,6
philips smart bulb,8,9,1
phone charger,4,7,5
playstation 5,160,200,6
portable Airconditioner,1000,1200,4
power shower,7500,10500,4
projector,220,270,3
refrigerator,100,200,5
Rice cooker,200,800,6
Ring spotlight cam,25,4,2
sandwitch maker,700,1000,1
scanner,10,18,5
set top box,23,30,5
sewing machine,70,80,4
slow cooker,160,180,1
smoke detector,0,1,6
space heater,2000,5000,2
steam iron,2300,2500,1
straightner,75,300,3
strimmer,300,500,4
